"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02741V03309","Sub Sector","UNIT","VALUE"
"EHQ10C01","Employment","20081","2008Q1","01","Civil service","Number","41700"
"EHQ10C01","Employment","20081","2008Q1","02","Defence","Number","11200"
"EHQ10C01","Employment","20081","2008Q1","03","Garda Siochana","Number","14900"
"EHQ10C01","Employment","20081","2008Q1","04","Education","Number","116100"
"EHQ10C01","Employment","20081","2008Q1","05","Regional bodies","Number","38900"
"EHQ10C01","Employment","20081","2008Q1","06","Health","Number","137800"
"EHQ10C01","Employment","20081","2008Q1","07","Semi-State companies","Number","56400"
"EHQ10C01","Employment","20081","2008Q1","09","Commercial Semi-State companies","Number","44900"
"EHQ10C01","Employment","20081","2008Q1","10","Non commercial Semi-State companies","Number","11500"
"EHQ10C01","Employment","20081","2008Q1","-","Total Public Sector including Semi State bodies","Number","417000"
"EHQ10C01","Employment","20081","2008Q1","08","Total Public Sector excluding Semi State bodies","Number","360600"
"EHQ10C01","Employment","20082","2008Q2","01","Civil service","Number","42700"
"EHQ10C01","Employment","20082","2008Q2","02","Defence","Number","11100"
"EHQ10C01","Employment","20082","2008Q2","03","Garda Siochana","Number","15100"
"EHQ10C01","Employment","20082","2008Q2","04","Education","Number","117400"
"EHQ10C01","Employment","20082","2008Q2","05","Regional bodies","Number","40100"
"EHQ10C01","Employment","20082","2008Q2","06","Health","Number","138000"
"EHQ10C01","Employment","20082","2008Q2","07","Semi-State companies","Number","56900"
"EHQ10C01","Employment","20082","2008Q2","09","Commercial Semi-State companies","Number","45100"
"EHQ10C01","Employment","20082","2008Q2","10","Non commercial Semi-State companies","Number","11800"
"EHQ10C01","Employment","20082","2008Q2","-","Total Public Sector including Semi State bodies","Number","421400"
"EHQ10C01","Employment","20082","2008Q2","08","Total Public Sector excluding Semi State bodies","Number","364500"
"EHQ10C01","Employment","20083","2008Q3","01","Civil service","Number","43000"
"EHQ10C01","Employment","20083","2008Q3","02","Defence","Number","11200"
"EHQ10C01","Employment","20083","2008Q3","03","Garda Siochana","Number","14200"
"EHQ10C01","Employment","20083","2008Q3","04","Education","Number","113200"
"EHQ10C01","Employment","20083","2008Q3","05","Regional bodies","Number","40700"
"EHQ10C01","Employment","20083","2008Q3","06","Health","Number","137800"
"EHQ10C01","Employment","20083","2008Q3","07","Semi-State companies","Number","57000"
"EHQ10C01","Employment","20083","2008Q3","09","Commercial Semi-State companies","Number","45300"
"EHQ10C01","Employment","20083","2008Q3","10","Non commercial Semi-State companies","Number","11700"
"EHQ10C01","Employment","20083","2008Q3","-","Total Public Sector including Semi State bodies","Number","417100"
"EHQ10C01","Employment","20083","2008Q3","08","Total Public Sector excluding Semi State bodies","Number","360100"
"EHQ10C01","Employment","20084","2008Q4","01","Civil service","Number","42700"
"EHQ10C01","Employment","20084","2008Q4","02","Defence","Number","11200"
"EHQ10C01","Employment","20084","2008Q4","03","Garda Siochana","Number","15300"
"EHQ10C01","Employment","20084","2008Q4","04","Education","Number","120500"
"EHQ10C01","Employment","20084","2008Q4","05","Regional bodies","Number","40200"
"EHQ10C01","Employment","20084","2008Q4","06","Health","Number","139600"
"EHQ10C01","Employment","20084","2008Q4","07","Semi-State companies","Number","57800"
"EHQ10C01","Employment","20084","2008Q4","09","Commercial Semi-State companies","Number","46000"
"EHQ10C01","Employment","20084","2008Q4","10","Non commercial Semi-State companies","Number","11800"
"EHQ10C01","Employment","20084","2008Q4","-","Total Public Sector including Semi State bodies","Number","427300"
"EHQ10C01","Employment","20084","2008Q4","08","Total Public Sector excluding Semi State bodies","Number","369500"
"EHQ10C01","Employment","20091","2009Q1","01","Civil service","Number","42200"
"EHQ10C01","Employment","20091","2009Q1","02","Defence","Number","11200"
"EHQ10C01","Employment","20091","2009Q1","03","Garda Siochana","Number","14600"
"EHQ10C01","Employment","20091","2009Q1","04","Education","Number","120200"
"EHQ10C01","Employment","20091","2009Q1","05","Regional bodies","Number","38400"
"EHQ10C01","Employment","20091","2009Q1","06","Health","Number","137700"
"EHQ10C01","Employment","20091","2009Q1","07","Semi-State companies","Number","56900"
"EHQ10C01","Employment","20091","2009Q1","09","Commercial Semi-State companies","Number","45000"
"EHQ10C01","Employment","20091","2009Q1","10","Non commercial Semi-State companies","Number","11900"
"EHQ10C01","Employment","20091","2009Q1","-","Total Public Sector including Semi State bodies","Number","421200"
"EHQ10C01","Employment","20091","2009Q1","08","Total Public Sector excluding Semi State bodies","Number","364300"
"EHQ10C01","Employment","20092","2009Q2","01","Civil service","Number","42100"
"EHQ10C01","Employment","20092","2009Q2","02","Defence","Number","11100"
"EHQ10C01","Employment","20092","2009Q2","03","Garda Siochana","Number","14700"
"EHQ10C01","Employment","20092","2009Q2","04","Education","Number","118300"
"EHQ10C01","Employment","20092","2009Q2","05","Regional bodies","Number","38400"
"EHQ10C01","Employment","20092","2009Q2","06","Health","Number","137100"
"EHQ10C01","Employment","20092","2009Q2","07","Semi-State companies","Number","56100"
"EHQ10C01","Employment","20092","2009Q2","09","Commercial Semi-State companies","Number","44400"
"EHQ10C01","Employment","20092","2009Q2","10","Non commercial Semi-State companies","Number","11700"
"EHQ10C01","Employment","20092","2009Q2","-","Total Public Sector including Semi State bodies","Number","417700"
"EHQ10C01","Employment","20092","2009Q2","08","Total Public Sector excluding Semi State bodies","Number","361600"
"EHQ10C01","Employment","20093","2009Q3","01","Civil service","Number","41600"
"EHQ10C01","Employment","20093","2009Q3","02","Defence","Number","10900"
"EHQ10C01","Employment","20093","2009Q3","03","Garda Siochana","Number","15100"
"EHQ10C01","Employment","20093","2009Q3","04","Education","Number","109100"
