Quarter,sector,avgWkEarns
2008Q1,Civil service,918.03
2008Q1,Defence,843.53
2008Q1,Garda Siochana,1182.62
2008Q1,Education,892.52
2008Q1,Regional bodies,963.45
2008Q1,Health,827.93
2008Q1,Semi-State companies,997.79
2008Q1,Commercial Semi-State companies,1006.66
2008Q1,Non commercial Semi-State companies,967.83
2008Q1,Total Public Sector including Semi State bodies,904.65
2008Q1,Total Public Sector excluding Semi State bodies,889.82
2008Q2,Civil service,908.65
2008Q2,Defence,875.86
2008Q2,Garda Siochana,1271.21
2008Q2,Education,906.24
2008Q2,Regional bodies,974.03
2008Q2,Health,882.3
2008Q2,Semi-State companies,997.23
2008Q2,Commercial Semi-State companies,993.04
2008Q2,Non commercial Semi-State companies,1011.27
2008Q2,Total Public Sector including Semi State bodies,930.63
2008Q2,Total Public Sector excluding Semi State bodies,919.91
2008Q3,Civil service,918.71
2008Q3,Defence,890.25
2008Q3,Garda Siochana,1136.65
2008Q3,Education,961.84
2008Q3,Regional bodies,929.3
2008Q3,Health,855.19
2008Q3,Semi-State companies,1002.84
2008Q3,Commercial Semi-State companies,995.57
2008Q3,Non commercial Semi-State companies,1026.93
2008Q3,Total Public Sector including Semi State bodies,929.73
2008Q3,Total Public Sector excluding Semi State bodies,917.79
2008Q4,Civil service,982.77
2008Q4,Defence,914.65
2008Q4,Garda Siochana,1149.01
2008Q4,Education,950.66
2008Q4,Regional bodies,931.98
2008Q4,Health,913.67
2008Q4,Semi-State companies,1022.42
2008Q4,Commercial Semi-State companies,1014.79
2008Q4,Non commercial Semi-State companies,1048.38
2008Q4,Total Public Sector including Semi State bodies,956.27
2008Q4,Total Public Sector excluding Semi State bodies,945.76
2009Q1,Civil service,965.08
2009Q1,Defence,903.15
2009Q1,Garda Siochana,1217.85
2009Q1,Education,941.4
2009Q1,Regional bodies,935.08
2009Q1,Health,860.19
2009Q1,Semi-State companies,1000.51
2009Q1,Commercial Semi-State companies,989.68
2009Q1,Non commercial Semi-State companies,1039.86
2009Q1,Total Public Sector including Semi State bodies,934.0
2009Q1,Total Public Sector excluding Semi State bodies,923.81
2009Q2,Civil service,959.05
2009Q2,Defence,915.59
2009Q2,Garda Siochana,1222.69
2009Q2,Education,922.65
2009Q2,Regional bodies,943.2
2009Q2,Health,900.09
2009Q2,Semi-State companies,1028.08
2009Q2,Commercial Semi-State companies,1020.27
2009Q2,Non commercial Semi-State companies,1056.06
2009Q2,Total Public Sector including Semi State bodies,945.95
2009Q2,Total Public Sector excluding Semi State bodies,933.55
2009Q3,Civil service,956.14
2009Q3,Defence,967.89
2009Q3,Garda Siochana,1170.55
2009Q3,Education,1027.35
2009Q3,Regional bodies,920.31
2009Q3,Health,902.94
2009Q3,Semi-State companies,975.48
2009Q3,Commercial Semi-State companies,956.93
2009Q3,Non commercial Semi-State companies,1040.58
2009Q3,Total Public Sector including Semi State bodies,963.8
2009Q3,Total Public Sector excluding Semi State bodies,961.97
2009Q4,Civil service,1029.89
2009Q4,Defence,920.66
2009Q4,Garda Siochana,1190.93
2009Q4,Education,936.14
2009Q4,Regional bodies,934.24
2009Q4,Health,948.35
2009Q4,Semi-State companies,982.71
2009Q4,Commercial Semi-State companies,962.9
2009Q4,Non commercial Semi-State companies,1054.09
2009Q4,Total Public Sector including Semi State bodies,964.94
2009Q4,Total Public Sector excluding Semi State bodies,962.34
2010Q1,Civil service,875.18
2010Q1,Defence,865.02
2010Q1,Garda Siochana,1223.96
2010Q1,Education,907.3
