Quarter,sector,Employed
2008Q1,Civil service,41700.0
2008Q1,Defence,11200.0
2008Q1,Garda Siochana,14900.0
2008Q1,Education,116100.0
2008Q1,Regional bodies,38900.0
2008Q1,Health,137800.0
2008Q1,Semi-State companies,56400.0
2008Q1,Commercial Semi-State companies,44900.0
2008Q1,Non commercial Semi-State companies,11500.0
2008Q1,Total Public Sector including Semi State bodies,417000.0
2008Q1,Total Public Sector excluding Semi State bodies,360600.0
2008Q2,Civil service,42700.0
2008Q2,Defence,11100.0
2008Q2,Garda Siochana,15100.0
2008Q2,Education,117400.0
2008Q2,Regional bodies,40100.0
2008Q2,Health,138000.0
2008Q2,Semi-State companies,56900.0
2008Q2,Commercial Semi-State companies,45100.0
2008Q2,Non commercial Semi-State companies,11800.0
2008Q2,Total Public Sector including Semi State bodies,421400.0
2008Q2,Total Public Sector excluding Semi State bodies,364500.0
2008Q3,Civil service,43000.0
2008Q3,Defence,11200.0
2008Q3,Garda Siochana,14200.0
2008Q3,Education,113200.0
2008Q3,Regional bodies,40700.0
2008Q3,Health,137800.0
2008Q3,Semi-State companies,57000.0
2008Q3,Commercial Semi-State companies,45300.0
2008Q3,Non commercial Semi-State companies,11700.0
2008Q3,Total Public Sector including Semi State bodies,417100.0
2008Q3,Total Public Sector excluding Semi State bodies,360100.0
2008Q4,Civil service,42700.0
2008Q4,Defence,11200.0
2008Q4,Garda Siochana,15300.0
2008Q4,Education,120500.0
2008Q4,Regional bodies,40200.0
2008Q4,Health,139600.0
2008Q4,Semi-State companies,57800.0
2008Q4,Commercial Semi-State companies,46000.0
2008Q4,Non commercial Semi-State companies,11800.0
2008Q4,Total Public Sector including Semi State bodies,427300.0
2008Q4,Total Public Sector excluding Semi State bodies,369500.0
2009Q1,Civil service,42200.0
2009Q1,Defence,11200.0
2009Q1,Garda Siochana,14600.0
2009Q1,Education,120200.0
2009Q1,Regional bodies,38400.0
2009Q1,Health,137700.0
2009Q1,Semi-State companies,56900.0
2009Q1,Commercial Semi-State companies,45000.0
2009Q1,Non commercial Semi-State companies,11900.0
2009Q1,Total Public Sector including Semi State bodies,421200.0
2009Q1,Total Public Sector excluding Semi State bodies,364300.0
2009Q2,Civil service,42100.0
2009Q2,Defence,11100.0
2009Q2,Garda Siochana,14700.0
2009Q2,Education,118300.0
2009Q2,Regional bodies,38400.0
2009Q2,Health,137100.0
2009Q2,Semi-State companies,56100.0
2009Q2,Commercial Semi-State companies,44400.0
2009Q2,Non commercial Semi-State companies,11700.0
2009Q2,Total Public Sector including Semi State bodies,417700.0
2009Q2,Total Public Sector excluding Semi State bodies,361600.0
2009Q3,Civil service,41600.0
2009Q3,Defence,10900.0
2009Q3,Garda Siochana,15100.0
2009Q3,Education,109100.0
2009Q3,Regional bodies,38300.0
2009Q3,Health,138200.0
2009Q3,Semi-State companies,56300.0
2009Q3,Commercial Semi-State companies,45000.0
2009Q3,Non commercial Semi-State companies,11300.0
2009Q3,Total Public Sector including Semi State bodies,409500.0
2009Q3,Total Public Sector excluding Semi State bodies,353200.0
2009Q4,Civil service,40900.0
2009Q4,Defence,10800.0
2009Q4,Garda Siochana,14800.0
2009Q4,Education,113100.0
2009Q4,Regional bodies,37700.0
2009Q4,Health,137300.0
2009Q4,Semi-State companies,55200.0
2009Q4,Commercial Semi-State companies,44200.0
2009Q4,Non commercial Semi-State companies,11000.0
2009Q4,Total Public Sector including Semi State bodies,409700.0
2009Q4,Total Public Sector excluding Semi State bodies,354500.0
2010Q1,Civil service,40100.0
2010Q1,Defence,10700.0
2010Q1,Garda Siochana,14700.0
2010Q1,Education,113800.0
2010Q1,Regional bodies,36700.0
2010Q1,Health,137400.0
2010Q1,Semi-State companies,53600.0
2010Q1,Commercial Semi-State companies,42200.0
2010Q1,Non commercial Semi-State companies,11400.0
2010Q1,Total Public Sector including Semi State bodies,406800.0
2010Q1,Total Public Sector excluding Semi State bodies,353200.0
2010Q2,Civil service,40100.0
2010Q2,Defence,10600.0
2010Q2,Garda Siochana,14600.0
2010Q2,Education,115800.0
2010Q2,Regional bodies,36500.0
2010Q2,Health,136900.0
2010Q2,Semi-State companies,55100.0
2010Q2,Commercial Semi-State companies,43700.0
2010Q2,Non commercial Semi-State companies,11300.0
2010Q2,Total Public Sector including Semi State bodies,409500.0
2010Q2,Total Public Sector excluding Semi State bodies,354400.0
2010Q3,Civil service,40000.0
2010Q3,Defence,10400.0
2010Q3,Garda Siochana,14600.0
2010Q3,Education,111300.0
2010Q3,Regional bodies,37300.0
2010Q3,Health,135900.0
2010Q3,Semi-State companies,55000.0
2010Q3,Commercial Semi-State companies,43800.0
2010Q3,Non commercial Semi-State companies,11200.0
2010Q3,Total Public Sector including Semi State bodies,404600.0
2010Q3,Total Public Sector excluding Semi State bodies,349600.0
2010Q4,Civil service,39600.0
2010Q4,Defence,10300.0
2010Q4,Garda Siochana,14400.0
2010Q4,Education,115000.0
2010Q4,Regional bodies,35200.0
2010Q4,Health,134200.0
2010Q4,Semi-State companies,55300.0
2010Q4,Commercial Semi-State companies,44200.0
2010Q4,Non commercial Semi-State companies,11100.0
2010Q4,Total Public Sector including Semi State bodies,404100.0
2010Q4,Total Public Sector excluding Semi State bodies,348700.0
2011Q1,Civil service,44500.0
2011Q1,Defence,10300.0
2011Q1,Garda Siochana,14300.0
2011Q1,Education,117700.0
2011Q1,Regional bodies,34600.0
2011Q1,Health,132900.0
2011Q1,Semi-State companies,55100.0
2011Q1,Commercial Semi-State companies,44100.0
2011Q1,Non commercial Semi-State companies,11100.0
2011Q1,Total Public Sector including Semi State bodies,409400.0
2011Q1,Total Public Sector excluding Semi State bodies,354300.0
2011Q2,Civil service,45000.0
2011Q2,Defence,10300.0
2011Q2,Garda Siochana,14200.0
2011Q2,Education,117500.0
2011Q2,Regional bodies,34800.0
2011Q2,Health,132000.0
2011Q2,Semi-State companies,53500.0
2011Q2,Commercial Semi-State companies,42900.0
2011Q2,Non commercial Semi-State companies,10600.0
2011Q2,Total Public Sector including Semi State bodies,407200.0
2011Q2,Total Public Sector excluding Semi State bodies,353700.0
2011Q3,Civil service,39900.0
2011Q3,Defence,10200.0
2011Q3,Garda Siochana,14100.0
2011Q3,Education,111100.0
2011Q3,Regional bodies,35100.0
2011Q3,Health,131100.0
2011Q3,Semi-State companies,53300.0
2011Q3,Commercial Semi-State companies,42300.0
2011Q3,Non commercial Semi-State companies,11000.0
2011Q3,Total Public Sector including Semi State bodies,394700.0
2011Q3,Total Public Sector excluding Semi State bodies,341400.0
2011Q4,Civil service,39700.0
2011Q4,Defence,10100.0
2011Q4,Garda Siochana,13900.0
2011Q4,Education,111300.0
2011Q4,Regional bodies,35000.0
2011Q4,Health,128300.0
2011Q4,Semi-State companies,53300.0
2011Q4,Commercial Semi-State companies,42600.0
2011Q4,Non commercial Semi-State companies,10800.0
2011Q4,Total Public Sector including Semi State bodies,391600.0
2011Q4,Total Public Sector excluding Semi State bodies,338300.0
2012Q1,Civil service,39700.0
2012Q1,Defence,9800.0
2012Q1,Garda Siochana,13700.0
2012Q1,Education,111900.0
2012Q1,Regional bodies,33900.0
2012Q1,Health,128800.0
2012Q1,Semi-State companies,51400.0
2012Q1,Commercial Semi-State companies,41300.0
2012Q1,Non commercial Semi-State companies,10100.0
2012Q1,Total Public Sector including Semi State bodies,389200.0
2012Q1,Total Public Sector excluding Semi State bodies,337700.0
2012Q2,Civil service,39300.0
2012Q2,Defence,9500.0
2012Q2,Garda Siochana,13500.0
2012Q2,Education,109400.0
2012Q2,Regional bodies,34100.0
2012Q2,Health,126100.0
2012Q2,Semi-State companies,51500.0
2012Q2,Commercial Semi-State companies,41200.0
2012Q2,Non commercial Semi-State companies,10300.0
2012Q2,Total Public Sector including Semi State bodies,383400.0
2012Q2,Total Public Sector excluding Semi State bodies,331900.0
2012Q3,Civil service,39500.0
2012Q3,Defence,9400.0
2012Q3,Garda Siochana,13400.0
2012Q3,Education,105800.0
2012Q3,Regional bodies,34400.0
2012Q3,Health,125800.0
2012Q3,Semi-State companies,51200.0
2012Q3,Commercial Semi-State companies,41100.0
2012Q3,Non commercial Semi-State companies,10100.0
2012Q3,Total Public Sector including Semi State bodies,379600.0
2012Q3,Total Public Sector excluding Semi State bodies,328400.0
2012Q4,Civil service,39400.0
2012Q4,Defence,9600.0
2012Q4,Garda Siochana,13400.0
2012Q4,Education,111300.0
