Country,Indicator,Year,Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share,Value
Australia,"Gender equality in public sector employment, percentage of women",2011,25550683.0,1.18%,296686.0,3.0,7682300.0,158246.0,1.8,38,86%,0.33%,61.12
Australia,"Gender equality in public sector employment, percentage of women",2020,25550683.0,1.18%,296686.0,3.0,7682300.0,158246.0,1.8,38,86%,0.33%,63.76
Austria,"Gender equality in public sector employment, percentage of women",2011,9015361.0,0.57%,51296.0,109.0,82409.0,65000.0,1.5,43,57%,0.12%,38.93
Austria,"Gender equality in public sector employment, percentage of women",2020,9015361.0,0.57%,51296.0,109.0,82409.0,65000.0,1.5,43,57%,0.12%,41.77
Belgium,"Gender equality in public sector employment, percentage of women",2011,11598451.0,0.44%,50295.0,383.0,30280.0,48000.0,1.7,42,98%,0.15%,55.26
Belgium,"Gender equality in public sector employment, percentage of women",2020,11598451.0,0.44%,50295.0,383.0,30280.0,48000.0,1.7,42,98%,0.15%,57.23
Canada,"Gender equality in public sector employment, percentage of women",2011,37799407.0,0.89%,331107.0,4.0,9093510.0,242032.0,1.5,41,81%,0.48%,62.53
Canada,"Gender equality in public sector employment, percentage of women",2020,37799407.0,0.89%,331107.0,4.0,9093510.0,242032.0,1.5,41,81%,0.48%,63.03
Denmark,"Gender equality in public sector employment, percentage of women",2011,5795780.0,0.35%,20326.0,137.0,42430.0,15200.0,1.8,42,88%,0.07%,67.95
Denmark,"Gender equality in public sector employment, percentage of women",2020,5795780.0,0.35%,20326.0,137.0,42430.0,15200.0,1.8,42,88%,0.07%,69.49
Finland,"Gender equality in public sector employment, percentage of women",2011,5542237.0,0.15%,8564.0,18.0,303890.0,14000.0,1.5,43,86%,0.07%,71.36
Finland,"Gender equality in public sector employment, percentage of women",2020,5542237.0,0.15%,8564.0,18.0,303890.0,14000.0,1.5,43,86%,0.07%,72.19
France,"Gender equality in public sector employment, percentage of women",2011,65298930.0,0.22%,143783.0,119.0,547557.0,36527.0,1.9,42,82%,0.84%,61.5
France,"Gender equality in public sector employment, percentage of women",2020,65298930.0,0.22%,143783.0,119.0,547557.0,36527.0,1.9,42,82%,0.84%,64.62
Germany,"Gender equality in public sector employment, percentage of women",2011,83830972.0,0.32%,266897.0,240.0,348560.0,543822.0,1.6,46,76%,1.07%,52.84
Germany,"Gender equality in public sector employment, percentage of women",2020,83830972.0,0.32%,266897.0,240.0,348560.0,543822.0,1.6,46,76%,1.07%,55.46
Greece,"Gender equality in public sector employment, percentage of women",2011,10413936.0,-0.48%,-50401.0,81.0,128900.0,-16000.0,1.3,46,85%,0.13%,46.19
Greece,"Gender equality in public sector employment, percentage of women",2020,10413936.0,-0.48%,-50401.0,81.0,128900.0,-16000.0,1.3,46,85%,0.13%,48.97
